AR,Q_L,Q_b,Q_VL,Q_Vw,Q_tot,BOR
0.05,11302.89598264583,430870.34946277074,13.585821567088878,1841.1233451352557,444027.9546121189,0.39470416776387923
0.0736842105263158,13038.074689276553,332718.53007903096,11.770289937749705,1936.9703224687412,347705.345380714,0.3090812880918048
0.09736842105263158,14417.351654550203,276300.19634557806,10.584221029381009,2026.4579117966666,292754.5901329543,0.260234601322189
0.12105263157894737,15580.211603731868,238970.22278789725,9.715478200454493,2108.975254441748,256669.12512427135,0.228157603843353
0.14473684210526316,16595.209523774036,212132.50312273958,9.03528466358281,2185.3472286091874,230922.0951597864,0.2052706244412587
0.16842105263157897,17501.687420609578,191747.19826458802,8.480584808388448,2256.4714392466226,211513.8377092526,0.18801828913712218
0.19210526315789472,18324.54558269737,175644.1822473372,8.01426349817485,2323.1221152386,196299.86420877135,0.17449432634773165
0.21578947368421053,19080.652767088668,162544.81030409873,7.613514806306599,2385.925764513904,184019.00235050762,0.16357765640717448
0.23947368421052634,19782.024339818185,151642.66726852438,7.2631879584343375,2445.392734557403,173877.3475308584,0.15456256524538375
0.2631578947368421,20437.55527861986,142401.86469463157,6.952755076506584,2501.9343828559795,165348.30711118394,0.146980954060546
0.2868421052631579,21054.035325612127,134451.19841854592,6.674621291545846,2555.892030701696,158067.80039615126,0.14050918670529322
0.3105263157894737,21636.778087295483,127524.7080782366,6.423167332276376,2607.5454612984554,151775.45479416283,0.13491581203948147
0.33421052631578946,22190.028861863302,121426.4213015836,6.194074114587565,2657.1326495888134,146279.77688715028,0.13003060970326702
0.35789473684210527,22717.23917226476,116008.48022541881,5.984010764872606,2704.8518540867735,141436.5552625352,0.12572538627613983
0.3815789473684211,23221.25735263806,111157.04887032622,5.790301695085651,2750.8756794649134,137134.9722041243,0.12190163535733248
0.4052631578947368,23704.464535719726,106782.93716333105,5.610818022264127,2795.3497161865675,133288.36223325963,0.11848231732859316
0.42894736842105263,24168.873837870793,102815.18784371277,5.443791665845266,2838.403414360329,129827.90888760975,0.11540626090044508
0.45263157894736844,24616.2042684619,99196.58283214491,5.287784324772238,2880.146954956543,126698.22183988811,0.11262422815231488
0.4763157894736842,25047.93668595455,95880.42704150344,5.1414906243236365,2920.6804675272833,123854.18568560961,0.1100961154538978
0.5,25465.35691878458,92828.2027788754,5.004050040082238,2960.089627455583,121258.65337515564,0.1077889020226704
0.55,26304.46914364723,87113.37080198593,4.738909064660312,3039.9325076366417,116462.51136233447,0.1035255287080609
0.6000000000000001,27093.405565589288,82203.9042873275,4.5024478217637345,3115.7170073454645,112417.52930808402,0.09992987435653762
0.65,27839.022080650324,77932.33835401366,4.289845952092056,3187.9384656425505,108963.58874625863,0.09685960694810054
0.7000000000000001,28546.790142420567,74175.63140144107,4.097211421217698,3257.0029909996406,105983.5217462825,0.0942105739050932
0.75,29221.15408467335,70841.17722107162,3.9216781367530165,3323.244543376995,103389.49752725872,0.09190470091552197
0.8,29865.778752363207,67857.82788296313,3.7607980639904035,3386.9458495133226,101114.31328290366,0.08988225028279859
0.8500000000000001,30483.72585800787,65169.941031417824,3.612724570126499,3448.3458264638844,99105.6254404597,0.0880966928534499
0.9,31077.582492017704,62733.32002079647,3.4758199824360436,3507.6500321576195,97322.02836495424,0.08651122252462304
0.95,31649.556717767467,60512.37636272936,3.3488195218417203,3565.03394109684,95730.3158411155,0.0850963216375115
1.0,32201.549911801583,58478.10335250745,3.230605864593299,3620.6523726290834,94303.53624280271,0.0838280324971404
1.05,32735.212426037724,56606.60114374382,3.120263300771896,3674.641029183215,93019.57486226554,0.08268669693567358
1.1,33251.98699960551,54877.984800359765,3.0169738289044776,3727.117748132051,91860.10652192624,0.0816560253352309
1.15,33753.14302532771,53275.56345366429,2.9200607690299347,3778.1889068336145,90809.81544659464,0.08072240332228346
1.2,34239.80395212442,51785.214697573676,2.8289258928115437,3827.949435450985,89855.79701104188,0.07987435972381274
1.25,34712.969401025315,50394.90178796473,2.743052675770286,3876.48255006695,88987.09679173277,0.0791021569526255
1.2999999999999998,35173.533167146954,49094.296779875716,2.661987545916615,3923.865037976524,88194.3569725451,0.07839747665745171
1.35,35622.29803523957,47874.4832736412,2.585314485537385,3970.1660984268324,87469.53272179315,0.07775316771414446
1.4,36059.98805801499,46727.71969595938,2.5126855316277137,4015.4469186709607,86805.66735817696,0.07716304616348238
1.45,36487.25877488959,45647.249115296945,2.4437793201882005,4059.765454011347,86196.71712351807,0.07662173964123571
1.5,36904.705836513844,44627.14519008068,2.378314611238403,4103.172318806198,85637.40166001196,0.07612455431554976
1.6,37712.25461866518,42747.75287494426,2.256711569851839,4187.439613569248,84649.70381874855,0.07524657229591798
1.7000000000000002,38486.452261729115,41054.49026294546,2.146110619478527,4268.584476020578,83811.67311131464,0.0745016320401822
1.8,39230.52595165544,39519.51521199648,2.0450916769718592,4346.893166074644,83098.97942140354,0.07386810597421707
1.9000000000000001,39947.23094878455,38120.40837928186,1.9524482024624947,4422.611819330759,82492.20359559963,0.07332873214434284
2.0,40638.940533897105,36838.89668587603,1.8671838842958661,4495.953818325666,81975.6582219831,0.07286956572798357
2.1,41307.71521110065,35659.92417200303,1.788456447186085,4567.10556397343,81536.5334035243,0.07247921977146261
2.2,41955.35670967235,34570.964112892085,1.7155513209769295,4636.230528690739,81164.26690257614,0.07214830528703124
2.3,42583.4506402712,33561.50192014083,1.6478446214427511,4703.474497119977,80850.07490215346,0.0718690142757498
2.4,43193.40061166797,32622.641035399218,1.5848101488819148,4768.965991889477,80586.59244910553,0.07163479986792454
2.5,43786.45575439404,31746.798785020772,1.525987528682361,4832.820241138567,80367.60076808206,0.07144013408395396
2.6,44363.73316447216,30927.468971375747,1.4709730233666396,4895.141122810637,80187.81423168193,0.0712803184502538
2.7,44926.236366496276,30159.03461465028,1.4194197494663974,4956.021163026835,80042.71156392286,0.0711513338856203
2.8,45474.87058822589,29436.618829263243,1.371015350522657,5015.545254053962,79928.4056868936,0.07104972511367065
2.9,46010.45553550164,28755.96501507888,1.3254860781645716,5073.790138287939,79841.53617494661,0.07097250501387246
3.0,46533.73611648198,28113.339810848694,1.2825890344708182,5130.825806081349,79779.1843224465,0.07091707908168488
3.0999999999999996,47045.3915127218,27505.45388707685,1.2421075806272706,5186.716254072334,79738.80376145162,0.0708811838225698
3.2,47546.04289566334,26929.396841423175,1.2038490293379263,5241.520185073394,79718.16377118925,0.07086283629705759
3.3,48036.26002558271,26382.58333255179,1.1676398337156608,5295.291578520708,79715.30257648893,0.07086029265704823
3.4,48516.566924446335,25862.70823749455,1.1333234289940417,5348.080116290665,79728.48860166053,0.07087201368502198
3.5,48987.446774773474,25367.70910520419,1.1007607127987997,5399.932067203396,79756.18870789386,0.07089663651174176
